seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	32827026	32827122	97	*	X011	81629	32827862	32829924	2063	+	739	upstream	739	TSSK3
chr1	156307018	156307063	46	*	X023	128229	156307105	156316785	9681	+	41	upstream	41	TSACC
chr2	263693	263786	94	*	X037	52	264869	278282	13414	+	1082	upstream	1082	ACP1
chr2	263802	263841	40	*	X038	52	264869	278282	13414	+	1027	upstream	1027	ACP1
chr2	27440085	27440102	18	*	X045	790	27440258	27466654	26397	+	155	upstream	155	CAD
chr2	36584229	36584246	18	*	X046	100288911	36581892	36582713	822	-	1515	upstream	1515	CRIM1-DT
chr2	43452356	43452447	92	*	X047	100129726	43454350	43455994	1645	+	1902	upstream	1902	LINC01126
chr2	85132927	85132927	1	*	X052	9168	85132763	85133799	1037	+	0	inside	163	TMSB10
chr2	85132965	85133087	123	*	X053	9168	85132763	85133799	1037	+	0	inside	201	TMSB10
chr2	114737415	114737635	221	*	X058	100499194	114735246	114737561	2316	-	0	overlapStart	0	LOC100499194
chr2	114737415	114737635	221	*	X058	440900	114737146	114764887	27742	+	0	inside	268	LINC01191
chr2	114737068	114737279	212	*	X059	100499194	114735246	114737561	2316	-	0	inside	281	LOC100499194
chr2	114737068	114737279	212	*	X059	440900	114737146	114764887	27742	+	0	overlapStart	0	LINC01191
chr2	239007192	239007228	37	*	X068	339768	239008951	239041928	32978	+	1722	upstream	1722	ESPNL
chr2	239007272	239007287	16	*	X069	339768	239008951	239041928	32978	+	1663	upstream	1663	ESPNL
chr3	149374682	149374876	195	*	X081	100128025	149375997	149379149	3153	+	1120	upstream	1120	WWTR1-AS1
chr3	186502052	186502200	149	*	X083	619567	186502585	186502654	70	+	384	upstream	384	SNORD2
chr5	137688070	137688140	71	*	X117	51780	137688285	137772716	84432	+	144	upstream	144	KDM3B
chr5	150284294	150284406	113	*	X118	91975	150273954	150284545	10592	-	0	inside	138	ZNF300
chr6	10411834	10412103	270	*	X128	100130275	10412551	10416402	3852	+	447	upstream	447	TFAP2A-AS1
chr6	26199197	26199485	289	*	X130	3013	26199012	26199521	510	-	0	inside	35	H2AC7
chr6	26199197	26199485	289	*	X130	8343	26199787	26200216	430	+	301	upstream	301	H2BC7
